,timestamp,visitorid,event,itemid,transactionid,hour,day_of_week,converted,price,category,is_available,is_weekend,month
0,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,600.0,805,1,False,6
1,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,600.0,805,0,False,6
2,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,552.0,805,1,False,6
3,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,552.0,805,0,False,6
4,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,1020.0,805,1,False,6
5,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,1020.0,805,0,False,6
6,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,726.0,805,1,False,6
7,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,726.0,805,0,False,6
8,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,94080.0,805,1,False,6
9,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,94080.0,805,0,False,6
10,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89280.0,805,1,False,6
11,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89280.0,805,0,False,6
12,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,90480.0,805,1,False,6
13,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,90480.0,805,0,False,6
14,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89400.0,805,1,False,6
15,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89400.0,805,0,False,6
16,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89040.0,805,1,False,6
17,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,89040.0,805,0,False,6
18,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,91320.0,805,1,False,6
19,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,91320.0,805,0,False,6
20,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,97080.0,805,1,False,6
21,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,97080.0,805,0,False,6
22,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,101520.0,805,1,False,6
23,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,101520.0,805,0,False,6
24,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,102360.0,805,1,False,6
25,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,102360.0,805,0,False,6
26,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,101400.0,805,1,False,6
27,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,101400.0,805,0,False,6
28,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,93720.0,805,1,False,6
29,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0,93720.0,805,0,False,6
