,timestamp,visitorid,event,itemid,transactionid,hour,day_of_week,converted
0,2015-06-02 05:02:12.117,257597,view,355908,,5,Tuesday,0
1,2015-06-02 05:50:14.164,992329,view,248676,,5,Tuesday,0
2,2015-06-02 05:13:19.827,111016,view,318965,,5,Tuesday,0
3,2015-06-02 05:12:35.914,483717,view,253185,,5,Tuesday,0
4,2015-06-02 05:02:17.106,951259,view,367447,,5,Tuesday,0
5,2015-06-02 05:48:06.234,972639,view,22556,,5,Tuesday,0
6,2015-06-02 05:12:03.240,810725,view,443030,,5,Tuesday,0
7,2015-06-02 05:34:51.897,794181,view,439202,,5,Tuesday,0
8,2015-06-02 04:54:59.221,824915,view,428805,,4,Tuesday,0
9,2015-06-02 05:00:04.592,339335,view,82389,,5,Tuesday,0
10,2015-06-02 05:16:02.373,176446,view,10572,,5,Tuesday,0
11,2015-06-02 05:08:21.252,929206,view,410676,,5,Tuesday,0
12,2015-06-02 05:50:29.496,15795,view,44872,,5,Tuesday,0
13,2015-06-02 05:41:37.356,598426,view,156489,,5,Tuesday,0
14,2015-06-02 05:47:58.165,223343,view,402625,,5,Tuesday,0
15,2015-06-02 05:22:11.378,57036,view,334662,,5,Tuesday,0
16,2015-06-02 05:33:59.808,1377281,view,251467,,5,Tuesday,0
17,2015-06-02 05:33:56.124,287857,addtocart,5206,,5,Tuesday,0
18,2015-06-02 05:50:44.282,1370216,view,176721,,5,Tuesday,0
19,2015-06-02 04:57:58.505,158090,addtocart,10572,,4,Tuesday,1
20,2015-06-02 05:47:50.841,1398644,view,135256,,5,Tuesday,0
21,2015-06-02 05:50:52.461,653756,view,132316,,5,Tuesday,0
22,2015-06-02 05:01:14.809,1213673,view,343861,,5,Tuesday,0
23,2015-06-02 05:01:15.206,864246,view,36642,,5,Tuesday,0
24,2015-06-02 05:33:23.944,125625,view,17655,,5,Tuesday,0
25,2015-06-02 05:58:03.817,608100,view,187722,,5,Tuesday,0
26,2015-06-02 05:02:53.311,781127,view,21989,,5,Tuesday,0
27,2015-06-02 05:15:47.345,1076270,view,262799,,5,Tuesday,1
28,2015-06-02 05:55:54.732,453474,view,250696,,5,Tuesday,0
29,2015-06-02 05:02:57.547,1153198,view,388242,,5,Tuesday,0
30,2015-06-02 05:51:06.445,273888,view,205392,,5,Tuesday,0
31,2015-06-02 05:03:00.636,849453,view,123990,,5,Tuesday,0
32,2015-06-02 04:56:58.375,487887,view,345560,,4,Tuesday,0
33,2015-06-02 05:32:56.926,629333,view,128394,,5,Tuesday,0
34,2015-06-02 05:15:43.427,1130165,view,45337,,5,Tuesday,0
35,2015-06-02 05:57:24.638,361387,view,43485,,5,Tuesday,1
36,2015-06-02 05:40:43.340,112175,view,430845,,5,Tuesday,0
37,2015-06-02 05:37:51.170,860082,view,22926,,5,Tuesday,0
38,2015-06-02 05:32:39.620,784669,view,181743,,5,Tuesday,0
39,2015-06-02 05:20:38.241,1061147,view,280893,,5,Tuesday,0
40,2015-06-02 05:47:36.696,485456,view,216707,,5,Tuesday,0
41,2015-06-02 05:07:02.167,1342963,view,306886,,5,Tuesday,0
42,2015-06-02 05:42:56.925,969887,view,159780,,5,Tuesday,0
43,2015-06-02 05:32:28.655,759369,view,386527,,5,Tuesday,0
44,2015-06-02 05:32:26.605,1282360,view,106564,,5,Tuesday,0
45,2015-06-02 04:57:31.265,233317,view,75994,,4,Tuesday,0
46,2015-06-02 05:43:05.793,392042,view,280375,,5,Tuesday,0
47,2015-06-02 04:59:32.079,591038,view,367500,,4,Tuesday,0
48,2015-06-02 05:32:18.106,692195,view,112792,,5,Tuesday,0
49,2015-06-02 05:39:34.540,432882,view,102061,,5,Tuesday,0
